SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,DOLLARS PER SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,NUM_UNITS,Association Heat,Association Water,Pool,Other Extras,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,222 N Grove Ave Unit 1C,Oak Park,IL,60302,209000.00,2.00,2.00,Oak Park,1200.00,,,31.00,174.00,330.00,Active,,,18,FALSE,TRUE,FALSE,FALSE,http://www.redfin.com/IL/Oak-Park/222-N-Grove-Ave-60302/unit-1C/home/13271854,MRED,10850063,N,Y,41.8908879,-87.7956225
MLS Listing,,Condo/Co-op,1020 Randolph St Unit 3W,Oak Park,IL,60302,349900.00,3.00,2.00,Oak Park,,12243.00,1926.00,40.00,,432.00,Active,,,8,TRUE,TRUE,FALSE,FALSE,http://www.redfin.com/IL/Oak-Park/1020-Randolph-St-60302/unit-3W/home/171800487,MRED,10842561,N,Y,41.8835146,-87.8009262
MLS Listing,,Condo/Co-op,2 Le Moyne Pkwy Unit 2N,Oak Park,IL,60302,105000.00,2.00,1.00,Oak Park,1000.00,,1961.00,80.00,105.00,270.00,Active,,,6,TRUE,TRUE,FALSE,FALSE,http://www.redfin.com/IL/Oak-Park/2-Le-Moyne-Pkwy-60302/unit-2N/home/13277583,MRED,10792960,N,Y,41.9077531,-87.7757568
MLS Listing,,Condo/Co-op,147 N Euclid Ave #301,Oak Park,IL,60302,679000.00,3.00,2.50,Oak Park,1840.00,,2018.00,88.00,369.00,416.00,Active,,,28,FALSE,TRUE,FALSE,FALSE,http://www.redfin.com/IL/Oak-Park/147-N-Euclid-Ave-60301/unit-301/home/144030209,MRED,10783215,N,Y,41.8890708,-87.7928011
MLS Listing,,Condo/Co-op,203 N Kenilworth Ave Unit 3K,Oak Park,IL,60302,249900.00,2.00,2.00,Oak Park,1300.00,,1965.00,1.00,192.00,379.00,Active,,,42,FALSE,TRUE,FALSE,FALSE,http://www.redfin.com/IL/Oak-Park/203-N-Kenilworth-Ave-60302/unit-3K/home/13271651,MRED,10901758,N,Y,41.8904726,-87.7982348
MLS Listing,,Condo/Co-op,401 S Grove Ave Unit 2A,Oak Park,IL,60302,233500.00,2.00,2.00,Oak Park,1300.00,,1968.00,2.00,180.00,366.00,Active,,,25,TRUE,FALSE,FALSE,FALSE,http://www.redfin.com/IL/Oak-Park/401-S-Grove-Ave-60302/unit-2A/home/13268992,MRED,10897724,N,Y,41.8812824,-87.7960835
MLS Listing,,Condo/Co-op,601 Washington Blvd #1,Oak Park,IL,60302,204900.00,3.00,2.00,Oak Park,,,1929.00,2.00,,490.00,Active,,,47,TRUE,TRUE,FALSE,FALSE,http://www.redfin.com/IL/Oak-Park/601-Washington-Blvd-60302/unit-1/home/12638248,MRED,10897605,N,Y,41.8813207,-87.7898699
MLS Listing,,Condo/Co-op,1130 Ontario St Unit UA2,Oak Park,IL,60302,180000.00,2.00,1.00,Oak Park,1200.00,,1978.00,3.00,150.00,338.00,Active,,,21,TRUE,TRUE,FALSE,FALSE,http://www.redfin.com/IL/Oak-Park/Undisclosed-address-60302/home/172080594,MRED,10896970,N,Y,41.8908942,-87.8040734
MLS Listing,,Condo/Co-op,1019 Washington Blvd #201,Oak Park,IL,60302,218000.00,2.00,1.00,Oak Park,1100.00,,1970.00,3.00,198.00,366.00,Active,,,36,TRUE,TRUE,FALSE,FALSE,http://www.redfin.com/IL/Oak-Park/1019-Washington-Blvd-60302/unit-201/home/144938149,MRED,10896207,N,Y,41.8812149,-87.8009257
MLS Listing,,Condo/Co-op,140 N Euclid Ave #408,Oak Park,IL,60302,379000.00,2.00,2.00,Oak Park,1050.00,,2002.00,3.00,361.00,361.00,Active,,,31,FALSE,TRUE,FALSE,FALSE,http://www.redfin.com/IL/Oak-Park/140-N-Euclid-Ave-60302/unit-408/home/12699871,MRED,10895878,N,Y,41.8888921,-87.7922582
